name,location,address1,city,state,zip,full_address
Dollar Tree #6004,1118 Edgemont Avenue,1118 Avenue of the States,Chester,PA,19013,"1118 Avenue of the States Chester, PA 19013"
Dollar Tree #1078,Staples Plaza,90 Clarion Plaza,Clarion,PA,16214,"90 Clarion Plaza Clarion, PA 16214"
Dollar Tree #2246,Clearfield Plaza,170 Plaza Drive,Clearfield,PA,16830,"170 Plaza Drive Clearfield, PA 16830"
Dollar Tree #2853,Super Center Plaza,9335 State Route 61.,Coal Township,PA,17866,"9335 State Route 61. Coal Township, PA 17866"
Dollar Tree #6484,Airportville,120 Airport Boulevard,Coatesville,PA,19320,"120 Airport Boulevard Coatesville, PA 19320"
Dollar Tree #1647,Trappe Center,130 W Main Street Suite 154,Collegeville,PA,19426,"130 W Main Street Suite 154 Collegeville, PA 19426"
Dollar Tree #7136,Laurel Mall,1952 University Dr #31,Connellsville,PA,15425,"1952 University Dr #31 Connellsville, PA 15425"
Dollar Tree #2347,The Shoppes at Widewater Commo,840 Vanderbilt Rd,Connellsville,PA,15425,"840 Vanderbilt Rd Connellsville, PA 15425"
Dollar Tree #1272,Moon Plaza,5990 University Blvd #30,Coraopolis,PA,15108,"5990 University Blvd #30 Coraopolis, PA 15108"
Dollar Tree #29,Shops at Cranberry,17 Kimberly Lane,Cranberry,PA,16319,"17 Kimberly Lane Cranberry, PA 16319"
Dollar Tree #186,Cranberry Mall II,20111 Route 19,Cranberry Township,PA,16066,"20111 Route 19 Cranberry Township, PA 16066"
Dollar Tree #2577,Salem Plaza,6520 Route 22,Delmont,PA,15626,"6520 Route 22 Delmont, PA 15626"
Dollar Tree #1670,Dickson City Crossings,640 Commerce Blvd.,Dickson City,PA,18519,"640 Commerce Blvd. Dickson City, PA 18519"
Dollar Tree #5710,Dickson City,1400 Main Street,Dickson Cty,PA,18447,"1400 Main Street Dickson Cty, PA 18447"
Dollar Tree #2446,Dillsburg Shopping Center,870 N. US Highway 15,Dillsburg,PA,17019,"870 N. US Highway 15 Dillsburg, PA 17019"
Dollar Tree #2372,Loehmanns Plaza at Pilgrim Gar,1065 Pontiac Rd,Drexel Hill,PA,19026,"1065 Pontiac Rd Drexel Hill, PA 19026"
Dollar Tree #2421,Commons Drive,160 Commons Drive.,Dubois,PA,15801,"160 Commons Drive. Dubois, PA 15801"
Dollar Tree #24,Holliday Towne Center,211 Glimcher Drive,Duncansville,PA,16635,"211 Glimcher Drive Duncansville, PA 16635"
Dollar Tree #6722,Village Center,50 Village Center,Duryea,PA,18642,"50 Village Center Duryea, PA 18642"
Dollar Tree #1672,Ridge Pike Plaza,3200 Ridge Pike.,Eagleville,PA,19403,"3200 Ridge Pike. Eagleville, PA 19403"
Dollar Tree #5049,Shoppes at Upper Hanover,622 Gravel Pike,East Greenville,PA,18041,"622 Gravel Pike East Greenville, PA 18041"
Dollar Tree #4188,Laneco Plaza,1700 Sullivan Trl. Ste 1A,Easton,PA,18040,"1700 Sullivan Trl. Ste 1A Easton, PA 18040"
Dollar Tree #1661,25th Street Shopping Center,2455 Nazereth Road.,Easton,PA,18045,"2455 Nazereth Road. Easton, PA 18045"
Dollar Tree #1196,Walmart Plaza,300 Walmart Dr Ste 110,Ebensburg,PA,15931,"300 Walmart Dr Ste 110 Ebensburg, PA 15931"
Dollar Tree #7289,204 Waterford Street,206 Waterford Street,Edinboro,PA,16412,"206 Waterford Street Edinboro, PA 16412"
Dollar Tree #1384,West Side Mall,37 West Side Mall,Edwardsville,PA,18704,"37 West Side Mall Edwardsville, PA 18704"
Dollar Tree #4636,Franklin Plaza,279 State Route 288 Suite #1356,Ellwood City,PA,16117,"279 State Route 288 Suite #1356 Ellwood City, PA 16117"
Dollar Tree #2742,Morgantown Crossing,220 Crossing Blvd.,Elverson,PA,19520,"220 Crossing Blvd. Elverson, PA 19520"
Dollar Tree #2146,Summerdale Plaza,417 North Enola Road,Enola,PA,17025,"417 North Enola Road Enola, PA 17025"
Dollar Tree #2388,Ephrata Commons,369 N Reading Road,Ephrata,PA,17522,"369 N Reading Road Ephrata, PA 17522"
Dollar Tree #426,Peach Street Square,1914 Keystone Dr.,Erie,PA,16509,"1914 Keystone Dr. Erie, PA 16509"
Dollar Tree #6715,2036 East 385th Street,2036 East 38 th Street,Erie,PA,16510,"2036 East 38 th Street Erie, PA 16510"
Dollar Tree #4659,Pittsburg Commons,2211 West 12th Street.,Erie,PA,16505,"2211 West 12th Street. Erie, PA 16505"
Dollar Tree #1862,Liberty Center,3708 Liberty Street.,Erie,PA,16508,"3708 Liberty Street. Erie, PA 16508"
Dollar Tree #6152,Frmr Goodwill,954 East 26th Street,Erie,PA,16504,"954 East 26th Street Erie, PA 16504"
Dollar Tree #4622,Newberry Point,152 Newberry Parkway,Etters,PA,17319,"152 Newberry Parkway Etters, PA 17319"
Dollar Tree #1004,Bedford Square,44 Bedford Square,Everett,PA,15537,"44 Bedford Square Everett, PA 15537"
Dollar Tree #1664,Exton Plaza,260 North Pottstown Pike Suite. 80,Exton,PA,19341,"260 North Pottstown Pike Suite. 80 Exton, PA 19341"
Dollar Tree #4125,Festival at Exton,400 W Lincoln Hwy Ste 400,Exton,PA,19341,"400 W Lincoln Hwy Ste 400 Exton, PA 19341"
Dollar Tree #2252,Fairless Hills Shopping Center,457 S Oxford Valley Rd.,Fairless Hills,PA,19030,"457 S Oxford Valley Rd. Fairless Hills, PA 19030"
Dollar Tree #5320,Route One Market Place,610 Lincoln Hwy,Fairless Hills,PA,19030,"610 Lincoln Hwy Fairless Hills, PA 19030"
Dollar Tree #1663,Bucks County Mall,759 Bustleton Pike,Feasterville,PA,19053,"759 Bustleton Pike Feasterville, PA 19053"
Dollar Tree #1662,Flourtown Shopping Center,1841 Bethlehem Pike,Flourtown,PA,19031,"1841 Bethlehem Pike Flourtown, PA 19031"
Dollar Tree #4164,Lincoln Court,225 Lancaster Avenue,Frazer,PA,19355,"225 Lancaster Avenue Frazer, PA 19355"
Dollar Tree #1865,Peebles Shopping Center,1275 York Road,Gettysburg,PA,17325,"1275 York Road Gettysburg, PA 17325"
Dollar Tree #1831,Richland Mall,400 Wal-Mart Drive B1,Gibsonia,PA,15044,"400 Wal-Mart Drive B1 Gibsonia, PA 15044"
Dollar Tree #5365,West End Plaza,1421 Route 209 Ste 123,Gilbert,PA,18331,"1421 Route 209 Ste 123 Gilbert, PA 18331"
Dollar Tree #6565,9149 Ridge Road,9149 Ridge Road,Girard,PA,16417,"9149 Ridge Road Girard, PA 16417"
Dollar Tree #6275,Former Shop n Save,937 Ohio Avenue #A,Glassport,PA,15045,"937 Ohio Avenue #A Glassport, PA 15045"
Dollar Tree #4084,Mt Royal Shopping Center,1712 Mount Royal Blvd,Glenshaw,PA,15116,"1712 Mount Royal Blvd Glenshaw, PA 15116"
Dollar Tree #323,Hempfield Plaza,6207 State Route 30 Suite #1090,Greensburg,PA,15601,"6207 State Route 30 Suite #1090 Greensburg, PA 15601"
Dollar Tree #886,Davis Shopping Center,660 E Pittsburgh St. Ste 5,Greensburg,PA,15601,"660 E Pittsburgh St. Ste 5 Greensburg, PA 15601"
Dollar Tree #1482,Greenville Crossings,43 Williamson Road Suite 2,Greenville,PA,16125,"43 Williamson Road Suite 2 Greenville, PA 16125"
Dollar Tree #2582,Pine Grove Square,21 Pine Grove Square,Grove City,PA,16127,"21 Pine Grove Square Grove City, PA 16127"
Dollar Tree #5139,Tilden Ridge,1780 Tilden Ridge Dr,Hamburg,PA,19526,"1780 Tilden Ridge Dr Hamburg, PA 19526"
