name,location,address1,city,state,zip,full_address
Family Dollar #8870,,1030 Mountain View Plaza,Hallstead,PA,18822,"1030 Mountain View Plaza Hallstead, PA 18822"
Family Dollar #10554,,2304 North 3rd Street,Harrisburg,PA,17110,"2304 North 3rd Street Harrisburg, PA 17110"
Family Dollar #11200,,932 South 13th Street,Harrisburg,PA,17104,"932 South 13th Street Harrisburg, PA 17104"
Family Dollar #6719,,400 S Cameron St,Harrisburg,PA,17101,"400 S Cameron St Harrisburg, PA 17101"
Family Dollar #9355,,1801 Derry Street,Harrisburg,PA,17104,"1801 Derry Street Harrisburg, PA 17104"
Family Dollar #3856,,Rt 739,Hawley,PA,18428,"Rt 739 Hawley, PA 18428"
Family Dollar #3310,,700 W Broad St,Hazleton,PA,18201,"700 W Broad St Hazleton, PA 18201"
Family Dollar #7432,,30 Forest Drive,Hegins,PA,17938,"30 Forest Drive Hegins, PA 17938"
Family Dollar #8745,,2121 Macdade Blvd.,Holmes,PA,19043,"2121 Macdade Blvd. Holmes, PA 19043"
Family Dollar #10771,,25 Tanoma Road,Home,PA,15747,"25 Tanoma Road Home, PA 15747"
Family Dollar #10206,,996 Barn Street,Hooversville,PA,15936,"996 Barn Street Hooversville, PA 15936"
Family Dollar #5890,,Us Route 53,Houtzdale,PA,16651,"Us Route 53 Houtzdale, PA 16651"
Family Dollar #2149,,7527 Huntingdon Plaza,Huntingdon,PA,16652,"7527 Huntingdon Plaza Huntingdon, PA 16652"
Family Dollar #7337,,719 Bedford St,Johnstown,PA,15902,"719 Bedford St Johnstown, PA 15902"
Family Dollar #7724,,91 Central Avenue,Johnstown,PA,15902,"91 Central Avenue Johnstown, PA 15902"
Family Dollar #8991,,519 North Fraley St,Kane,PA,16735,"519 North Fraley St Kane, PA 16735"
Family Dollar #1596,,125 Market St,Kittanning,PA,16201,"125 Market St Kittanning, PA 16201"
Family Dollar #11181,,420 North Franklin Street,Lancaster,PA,17602,"420 North Franklin Street Lancaster, PA 17602"
Family Dollar #1855,,930 S Duke Street,Lancaster,PA,17602,"930 S Duke Street Lancaster, PA 17602"
Family Dollar #943,,700 E Patterson St,Lansford,PA,18232,"700 E Patterson St Lansford, PA 18232"
Family Dollar #11300,,66 Main St.,Lawrenceville,PA,16929,"66 Main St. Lawrenceville, PA 16929"
Family Dollar #11771,,1034 Maple Street,Lebanon,PA,17046,"1034 Maple Street Lebanon, PA 17046"
Family Dollar #4041,,306 Cumberland St,Lebanon,PA,17042,"306 Cumberland St Lebanon, PA 17042"
Family Dollar #8452,,5479 Pottsville Pike,Leesport,PA,19533,"5479 Pottsville Pike Leesport, PA 19533"
Family Dollar #12230,,1625 Haines Road,Levittown,PA,19055,"1625 Haines Road Levittown, PA 19055"
Family Dollar #11361,,1507 Market St,Linwood,PA,19061,"1507 Market St Linwood, PA 19061"
Family Dollar #9294,,1080 Susquehanna Trail,Liverpool,PA,17045,"1080 Susquehanna Trail Liverpool, PA 17045"
Family Dollar #4988,,300 Bellefonte Ave,Lock Haven,PA,17745,"300 Bellefonte Ave Lock Haven, PA 17745"
Family Dollar #11302,,3545 Shermans Valley Road,Loysville,PA,17047,"3545 Shermans Valley Road Loysville, PA 17047"
Family Dollar #10765,,585 Mahaffey Grampian Highway,Mahaffey,PA,15757,"585 Mahaffey Grampian Highway Mahaffey, PA 15757"
Family Dollar #11303,,139 West Centre Street,Mahanoy City,PA,17948,"139 West Centre Street Mahanoy City, PA 17948"
Family Dollar #10732,,174 Main Street,Markleysburg,PA,15459,"174 Main Street Markleysburg, PA 15459"
Family Dollar #11619,,3215 Versailles Avenue,Mckeesport,PA,15132,"3215 Versailles Avenue Mckeesport, PA 15132"
Family Dollar #1631,,130 Lysle Blvd,Mckeesport,PA,15132,"130 Lysle Blvd Mckeesport, PA 15132"
Family Dollar #6554,,2347 5th Ave,Mckeesport,PA,15132,"2347 5th Ave Mckeesport, PA 15132"
Family Dollar #7123,,3107 Liberty Way,Mckeesport,PA,15133,"3107 Liberty Way Mckeesport, PA 15133"
Family Dollar #8379,,821 Chartiers Ave.,Mckees Rocks,PA,15136,"821 Chartiers Ave. Mckees Rocks, PA 15136"
Family Dollar #8809,,18971 Park Avenue Plaza,Meadville,PA,16335,"18971 Park Avenue Plaza Meadville, PA 16335"
Family Dollar #3159,,139 N Erie St,Mercer,PA,16137,"139 N Erie St Mercer, PA 16137"
Family Dollar #7691,,315 Grant Street,Meyersdale,PA,15552,"315 Grant Street Meyersdale, PA 15552"
Family Dollar #8016,,204 South Wausau Street,Middleburg,PA,17842,"204 South Wausau Street Middleburg, PA 17842"
Family Dollar #3649,,45 8th St,Midland,PA,15059,"45 8th St Midland, PA 15059"
Family Dollar #9408,,26 Front St,Millsboro,PA,15348,"26 Front St Millsboro, PA 15348"
Family Dollar #3182,,123 Lincoln Ave,Millvale,PA,15209,"123 Lincoln Ave Millvale, PA 15209"
Family Dollar #7197,,1221 Pacific Ave,Monaca,PA,15061,"1221 Pacific Ave Monaca, PA 15061"
Family Dollar #788,,1224 W Main St,Monongahela,PA,15063,"1224 W Main St Monongahela, PA 15063"
Family Dollar #4962,,1737 Golden Mile Highway,Monroeville,PA,15146,"1737 Golden Mile Highway Monroeville, PA 15146"
Family Dollar #10584,,60 Elimsport Road,Montgomery,PA,17752,"60 Elimsport Road Montgomery, PA 17752"
Family Dollar #5955,,706 Price Chopper Plaza,Montrose,PA,18801,"706 Price Chopper Plaza Montrose, PA 18801"
Family Dollar #2116,,240 Hays Avenue,Mount Oliver,PA,15210,"240 Hays Avenue Mount Oliver, PA 15210"
Family Dollar #3619,,30 E Shirley St,Mount Union,PA,17066,"30 E Shirley St Mount Union, PA 17066"
Family Dollar #8756,,2 N. Baltimore Avenue,Mt Holly Springs,PA,17065,"2 N. Baltimore Avenue Mt Holly Springs, PA 17065"
Family Dollar #10770,,8167 State Route 104,Mt. Pleasant Mills,PA,17853,"8167 State Route 104 Mt. Pleasant Mills, PA 17853"
Family Dollar #5940,,715 E 8th Ave,Munhall,PA,15120,"715 E 8th Ave Munhall, PA 15120"
Family Dollar #11089,,4573 Us Route 422,New Bedford,PA,16143,"4573 Us Route 422 New Bedford, PA 16143"
Family Dollar #3126,,51 Centre Drive,New Bloomfield,PA,17068,"51 Centre Drive New Bloomfield, PA 17068"
Family Dollar #6769,,1235 5th Avenue,New Brighton,PA,15066,"1235 5th Avenue New Brighton, PA 15066"
Family Dollar #7117,,421-27 Freeport St,New Kensington,PA,15068,"421-27 Freeport St New Kensington, PA 15068"
Family Dollar #818,,322 Central City Plaza,New Kensington,PA,15068,"322 Central City Plaza New Kensington, PA 15068"
Family Dollar #10516,,67 N High Street,Newville,PA,17241,"67 N High Street Newville, PA 17241"
Family Dollar #5932,,1717 Markley St,Norristown,PA,19401,"1717 Markley St Norristown, PA 19401"
Family Dollar #7803,,1016 Sandy Hill Road,Norristown,PA,19401,"1016 Sandy Hill Road Norristown, PA 19401"
Family Dollar #2894,,149 W Main Street,North East,PA,16428,"149 W Main Street North East, PA 16428"
Family Dollar #11984,,809 Grandview Road,Oil City,PA,16301,"809 Grandview Road Oil City, PA 16301"
Family Dollar #1941,,124 State St,Oil City,PA,16301,"124 State St Oil City, PA 16301"
Family Dollar #9221,,105 N Main Street,Old Forge,PA,18518,"105 N Main Street Old Forge, PA 18518"
Family Dollar #3780,,301 Lackawanna Ave,Olyphant,PA,18447,"301 Lackawanna Ave Olyphant, PA 18447"
Family Dollar #7489,,2 Main St,Osceola,PA,16942,"2 Main St Osceola, PA 16942"
Family Dollar #8229,,545 Delaware Avenue,Palmerton,PA,18071,"545 Delaware Avenue Palmerton, PA 18071"
Family Dollar #3390,,1361 Blue Valley Dr,Pen Argyl,PA,18072,"1361 Blue Valley Dr Pen Argyl, PA 18072"
Family Dollar #10200,,5701 Walnut Street,Philadelphia,PA,19139,"5701 Walnut Street Philadelphia, PA 19139"
Family Dollar #10581,,4061 Lancaster Avenue,Philadelphia,PA,19104,"4061 Lancaster Avenue Philadelphia, PA 19104"
Family Dollar #11194,,1812 W Cheltenham Avenue,Philadelphia,PA,19126,"1812 W Cheltenham Avenue Philadelphia, PA 19126"
Family Dollar #11349,,229 W Allegheny Avenue,Philadelphia,PA,19133,"229 W Allegheny Avenue Philadelphia, PA 19133"
Family Dollar #11363,,1955 W. Hunting Park Ave,Philadelphia,PA,19140,"1955 W. Hunting Park Ave Philadelphia, PA 19140"
Family Dollar #11370,,4113 G Street,Philadelphia,PA,19124,"4113 G Street Philadelphia, PA 19124"
Family Dollar #11706,,2201 W Cambria Street,Philadelphia,PA,19132,"2201 W Cambria Street Philadelphia, PA 19132"
Family Dollar #11774,,6430 Castor Avenue,Philadelphia,PA,19149,"6430 Castor Avenue Philadelphia, PA 19149"
Family Dollar #11779,,2459 Kensington Ave,Philadelphia,PA,19125,"2459 Kensington Ave Philadelphia, PA 19125"
Family Dollar #11814,,7740 City Line Avenue,Philadelphia,PA,19151,"7740 City Line Avenue Philadelphia, PA 19151"
Family Dollar #5633,,6138 Ridge Ave,Philadelphia,PA,19128,"6138 Ridge Ave Philadelphia, PA 19128"
Family Dollar #5756,,6429 Rising Sun Rd,Philadelphia,PA,19111,"6429 Rising Sun Rd Philadelphia, PA 19111"
Family Dollar #5835,,5648 Lancaster Avenue Suite 1,Philadelphia,PA,19131,"5648 Lancaster Avenue Suite 1 Philadelphia, PA 19131"
Family Dollar #6054,,4501 Castor Ave,Philadelphia,PA,19124,"4501 Castor Ave Philadelphia, PA 19124"
Family Dollar #6163,,3141 Frankford Ave #59,Philadelphia,PA,19134,"3141 Frankford Ave #59 Philadelphia, PA 19134"
Family Dollar #6201,,5200 Germantown Ave,Philadelphia,PA,19144,"5200 Germantown Ave Philadelphia, PA 19144"
Family Dollar #6496,,5807 Torresdale Ave,Philadelphia,PA,19135,"5807 Torresdale Ave Philadelphia, PA 19135"
Family Dollar #6677,,2649 Germantown Avenue,Philadelphia,PA,19133,"2649 Germantown Avenue Philadelphia, PA 19133"
Family Dollar #6739,,4617 N 5th St,Philadelphia,PA,19140,"4617 N 5th St Philadelphia, PA 19140"
Family Dollar #6868,,321 E Allegheny Ave #25,Philadelphia,PA,19134,"321 E Allegheny Ave #25 Philadelphia, PA 19134"
Family Dollar #6886,,1325 Point Breeze Ave,Philadelphia,PA,19146,"1325 Point Breeze Ave Philadelphia, PA 19146"
Family Dollar #6928,,6337 North Broad St,Philadelphia,PA,19141,"6337 North Broad St Philadelphia, PA 19141"
Family Dollar #7151,,29 N 52nd St,Philadelphia,PA,19139,"29 N 52nd St Philadelphia, PA 19139"
Family Dollar #7338,,4334 Frankford Ave,Philadelphia,PA,19124,"4334 Frankford Ave Philadelphia, PA 19124"
Family Dollar #7350,,4701 W Girard Ave,Philadelphia,PA,19131,"4701 W Girard Ave Philadelphia, PA 19131"
Family Dollar #7417,,906 N Broad St Ste 16,Philadelphia,PA,19130,"906 N Broad St Ste 16 Philadelphia, PA 19130"
Family Dollar #7559,,5719 Oxford Ave,Philadelphia,PA,19149,"5719 Oxford Ave Philadelphia, PA 19149"
Family Dollar #7719,,1925 West Allegheny Avenue,Philadelphia,PA,19132,"1925 West Allegheny Avenue Philadelphia, PA 19132"
Family Dollar #8419,,5601 Vine St.,Philadelphia,PA,19139,"5601 Vine St. Philadelphia, PA 19139"
Family Dollar #8623,,5716 Baltimore Ave.,Philadelphia,PA,19143,"5716 Baltimore Ave. Philadelphia, PA 19143"
Family Dollar #8948,,701 W Lehigh Avenue,Philadelphia,PA,19133,"701 W Lehigh Avenue Philadelphia, PA 19133"
Family Dollar #9057,,180 W Girard Ave.,Philadelphia,PA,19123,"180 W Girard Ave. Philadelphia, PA 19123"
Family Dollar #9215,,2701 W Hunting Park Avenue,Philadelphia,PA,19129,"2701 W Hunting Park Avenue Philadelphia, PA 19129"
Family Dollar #2041,,16 Ames Plaza,Philipsburg,PA,16866,"16 Ames Plaza Philipsburg, PA 16866"
Family Dollar #11119,,3300 Penn Avenue,Pittsburgh,PA,15201,"3300 Penn Avenue Pittsburgh, PA 15201"
Family Dollar #11291,,2928 Sheraden Boulevard,Pittsburgh,PA,15204,"2928 Sheraden Boulevard Pittsburgh, PA 15204"
Family Dollar #11387,,8184 Frankstown Avenue,Pittsburgh,PA,15221,"8184 Frankstown Avenue Pittsburgh, PA 15221"
Family Dollar #11553,,1111 Lincoln Avenue,Pittsburgh,PA,15206,"1111 Lincoln Avenue Pittsburgh, PA 15206"
Family Dollar #11692,,3210 Brighton Road,Pittsburgh,PA,15212,"3210 Brighton Road Pittsburgh, PA 15212"
Family Dollar #11940,,1211 Chartiers Avenue,Pittsburgh,PA,15220,"1211 Chartiers Avenue Pittsburgh, PA 15220"
Family Dollar #12168,,2116 Brownsville Road,Pittsburgh,PA,15210,"2116 Brownsville Road Pittsburgh, PA 15210"
Family Dollar #5250,,2020 Wharton St,Pittsburgh,PA,15203,"2020 Wharton St Pittsburgh, PA 15203"
Family Dollar #5275,,450 56th St,Pittsburgh,PA,15201,"450 56th St Pittsburgh, PA 15201"
Family Dollar #6137,,5160 Penn Ave,Pittsburgh,PA,15224,"5160 Penn Ave Pittsburgh, PA 15224"
Family Dollar #7104,,2020 Spring Garden Ave,Pittsburgh,PA,15212,"2020 Spring Garden Ave Pittsburgh, PA 15212"
Family Dollar #7199,,1917 Centre Ave,Pittsburgh,PA,15219,"1917 Centre Ave Pittsburgh, PA 15219"
Family Dollar #8528,,7 N. River Street,Plains,PA,18705,"7 N. River Street Plains, PA 18705"
Family Dollar #6986,,501 West Main St,Plymouth,PA,18651,"501 West Main St Plymouth, PA 18651"
Family Dollar #7283,,20 Penn St,Point Marion,PA,15474,"20 Penn St Point Marion, PA 15474"
Family Dollar #11312,,891 Market Street,Port Royal,PA,17082,"891 Market Street Port Royal, PA 17082"
Family Dollar #10793,,399 Farmington Avenue,Pottstown,PA,19464,"399 Farmington Avenue Pottstown, PA 19464"
Family Dollar #7359,,1013 W Market St,Pottsville,PA,17901,"1013 W Market St Pottsville, PA 17901"
Family Dollar #11609,,400 South 6th Street,Reading,PA,19602,"400 South 6th Street Reading, PA 19602"
Family Dollar #11670,,231 Lancaster Avenue,Reading,PA,19611,"231 Lancaster Avenue Reading, PA 19611"
Family Dollar #6825,,433 W Douglass St,Reading,PA,19601,"433 W Douglass St Reading, PA 19601"
Family Dollar #7250,,333 N 4th St,Reading,PA,19601,"333 N 4th St Reading, PA 19601"
Family Dollar #7455,,840 Penn Street,Reading,PA,19602,"840 Penn Street Reading, PA 19602"
Family Dollar #1383,,10 Dairyland Square,Red Lion,PA,17356,"10 Dairyland Square Red Lion, PA 17356"
Family Dollar #11607,,2932 New Centerville Road,Rockwood,PA,15557,"2932 New Centerville Road Rockwood, PA 15557"
Family Dollar #3340,,745 Little Deer Creek Valley R,Russellton,PA,15076,"745 Little Deer Creek Valley R Russellton, PA 15076"
Family Dollar #7699,,302 South Keystone Avenue,Sayre,PA,18840,"302 South Keystone Avenue Sayre, PA 18840"
Family Dollar #10105,,449 N Main Avenue,Scranton,PA,18504,"449 N Main Avenue Scranton, PA 18504"
Family Dollar #1350,,635 Luzerne St,Scranton,PA,18504,"635 Luzerne St Scranton, PA 18504"
Family Dollar #4190,,701 Prescott Ave,Scranton,PA,18510,"701 Prescott Ave Scranton, PA 18510"
Family Dollar #4457,,1502 Jackson St,Scranton,PA,18504,"1502 Jackson St Scranton, PA 18504"
Family Dollar #2396,,909 Main St,Sharpsburg,PA,15215,"909 Main St Sharpsburg, PA 15215"
Family Dollar #10493,,640 West Centre Street,Shenandoah,PA,17976,"640 West Centre Street Shenandoah, PA 17976"
Family Dollar #2563,,5 Mountain Mall,Shickshinny,PA,18655,"5 Mountain Mall Shickshinny, PA 18655"
Family Dollar #8416,,508 East Lancaster Ave,Shillington,PA,19607,"508 East Lancaster Ave Shillington, PA 19607"
Family Dollar #8494,,3564 Penn Drive,Sinking Spring,PA,19608,"3564 Penn Drive Sinking Spring, PA 19608"
Family Dollar #10299,,1800 Shamrock Street,Sligo,PA,16255,"1800 Shamrock Street Sligo, PA 16255"
Family Dollar #11406,,63 Main Street,Smithfield,PA,15478,"63 Main Street Smithfield, PA 15478"
Family Dollar #2322,,545 East Main St,Somerset,PA,15501,"545 East Main St Somerset, PA 15501"
Family Dollar #10772,,368 Main Street,Spartansburg,PA,16434,"368 Main Street Spartansburg, PA 16434"
Family Dollar #2576,,803 S Front St,Steelton,PA,17113,"803 S Front St Steelton, PA 17113"
Family Dollar #11589,,125 Center Street,Tamaqua,PA,18252,"125 Center Street Tamaqua, PA 18252"
Family Dollar #12193,,140 West 7th Ave,Tarentum,PA,15084,"140 West 7th Ave Tarentum, PA 15084"
Family Dollar #10587,,15905 Route 62,Tidioute,PA,16351,"15905 Route 62 Tidioute, PA 16351"
Family Dollar #5823,,State Route 196,Tobyhanna,PA,18466,"State Route 196 Tobyhanna, PA 18466"
Family Dollar #7500,,3676 North Hermitage Rd,Transfer,PA,16154,"3676 North Hermitage Rd Transfer, PA 16154"
Family Dollar #7319,,14 Spring St,Tremont,PA,17981,"14 Spring St Tremont, PA 17981"
Family Dollar #10492,,1852 Brownsville Road,Trevose,PA,19053,"1852 Brownsville Road Trevose, PA 19053"
Family Dollar #6988,,255 North Gallatin Ave,Uniontown,PA,15401,"255 North Gallatin Ave Uniontown, PA 15401"
Family Dollar #10094,,1500 Garrett Rd.,Upper Darby,PA,19082,"1500 Garrett Rd. Upper Darby, PA 19082"
Family Dollar #11762,,117 S 69th Street,Upper Darby,PA,19082,"117 S 69th Street Upper Darby, PA 19082"
Family Dollar #8406,,1122 Milltown Unity Rd.,Verona,PA,15147,"1122 Milltown Unity Rd. Verona, PA 15147"
Family Dollar #7297,,1036 Pennsylvania Ave W,Warren,PA,16365,"1036 Pennsylvania Ave W Warren, PA 16365"
Family Dollar #1356,,130 Highland Ave,Washington,PA,15301,"130 Highland Ave Washington, PA 15301"
Family Dollar #4365,,101 E Wylie Ave,Washington,PA,15301,"101 E Wylie Ave Washington, PA 15301"
Family Dollar #6551,,10 W Brimmer Ave,Watsontown,PA,17777,"10 W Brimmer Ave Watsontown, PA 17777"
Family Dollar #5046,,175 W High St,Waynesburg,PA,15370,"175 W High St Waynesburg, PA 15370"
Family Dollar #9304,,18429 Bennetts Valley Hwy.,Weedville,PA,15868,"18429 Bennetts Valley Hwy. Weedville, PA 15868"
Family Dollar #11484,,1 West Penn Avenue,Wernersville,PA,19565,"1 West Penn Avenue Wernersville, PA 19565"
Family Dollar #10943,,225 W Main Street,Westfield,PA,16950,"225 W Main Street Westfield, PA 16950"
Family Dollar #1299,,665 Carey Ave,Wilkes Barre,PA,18702,"665 Carey Ave Wilkes Barre, PA 18702"
Family Dollar #2582,,404 S Main St,Wilkes-Barre,PA,18701,"404 S Main St Wilkes-Barre, PA 18701"
Family Dollar #11688,,1200 Swissvale Avenue,Wilkinsburg,PA,15221,"1200 Swissvale Avenue Wilkinsburg, PA 15221"
Family Dollar #3675,,7627 Penn Ave,Wilkinsburg,PA,15221,"7627 Penn Ave Wilkinsburg, PA 15221"
Family Dollar #1811,,2016 Lycoming Creek Road,Williamsport,PA,17701,"2016 Lycoming Creek Road Williamsport, PA 17701"
Family Dollar #1891,,328 Memorial Ave,Williamsport,PA,17701,"328 Memorial Ave Williamsport, PA 17701"
Family Dollar #8899,,1221 W 4th Street,Williamsport,PA,17701,"1221 W 4th Street Williamsport, PA 17701"
Family Dollar #11893,,2423 Butler Street,Wilson,PA,18042,"2423 Butler Street Wilson, PA 18042"
Family Dollar #7312,,1192 W Penn Ave,Womelsdorf,PA,19567,"1192 W Penn Ave Womelsdorf, PA 19567"
Family Dollar #2419,,579 Maryland Avenue,York,PA,17404,"579 Maryland Avenue York, PA 17404"
Family Dollar #10961,,70 Railroad Street,Youngsville,PA,16371,"70 Railroad Street Youngsville, PA 16371"
Family Dollar #2233,Providence Village,515 North Oak Avenue,Aldan,PA,19018,"515 North Oak Avenue Aldan, PA 19018"
Family Dollar #1952,Aliquippa Shopping Center,2719 Brodhead Rd,Aliquippa,PA,15001,"2719 Brodhead Rd Aliquippa, PA 15001"
Family Dollar #2455,Allentown Shopping Plaza,1360 Hanover Ave,Allentown,PA,18109,"1360 Hanover Ave Allentown, PA 18109"
Family Dollar #3155,Airport Plaza,1200 Airport Rd,Allentown,PA,18103,"1200 Airport Rd Allentown, PA 18103"
Family Dollar #3847,Parkway Shp Ctr,1571 Lehigh St,Allentown,PA,18103,"1571 Lehigh St Allentown, PA 18103"
Family Dollar #8086,Allen Street Shopping Center,1431 W Allen St.,Allentown,PA,18102,"1431 W Allen St. Allentown, PA 18102"
Family Dollar #2681,Ivyside Plaza,501 E 25th Ave,Altoona,PA,16601,"501 E 25th Ave Altoona, PA 16601"
Family Dollar #4970,58th Street Plaza,5901 6th Ave,Altoona,PA,16602,"5901 6th Ave Altoona, PA 16602"
Family Dollar #2884,Village Green Shp Ctr,3464 Concord Rd,Aston,PA,19014,"3464 Concord Rd Aston, PA 19014"
Family Dollar #3440,Eckerd Plaza,101 Railroad St,Bedford,PA,15522,"101 Railroad St Bedford, PA 15522"
Family Dollar #2811,Bethlehem Shopping Center,2910 Easton Ave,Bethlehem,PA,18017,"2910 Easton Ave Bethlehem, PA 18017"
Family Dollar #8074,Willowbrook Shopping Center,3290 Chichester Ave.,Boothwyn,PA,19061,"3290 Chichester Ave. Boothwyn, PA 19061"
