name,address1,city,state,zip,full_address,g_lat,g_lon,g_country,g_state,g_county,g_city,g_postcode,g_street,g_number,g_confidence,g_formatted,g_quality
Dollar General # 4430,249 Main St,Ridgway,PA,15853,"249 Main St Ridgway, PA 15853",41.4219171,-78.73010910000001,USA,Pennsylvania,Elk County,Ridgway,15853,Main Street,249,10,"249 Main Street, Ridgway, PA 15853, United States of America",number
Dollar General # 16972,283 Fairview Road,Kersey,PA,15846,"283 Fairview Road Kersey, PA 15846",41.361779,-78.590802,United States of America,Pennsylvania,,Kersey,,Fairview Rd,283,10,"283 Fairview Rd, Kersey, PA, United States of America",number
Dollar General # 2446,11102 Perry Hwy,Meadville,PA,16335,"11102 Perry Hwy Meadville, PA 16335",41.619285,-80.201806,United States of America,Pennsylvania,,Meadville,,Perry Hwy,,8,"Perry Hwy, Meadville, PA, United States of America",street
Dollar General # 6560,12853 Conneaut Lake Rd,Conneaut Lake,PA,16316,"12853 Conneaut Lake Rd Conneaut Lake, PA 16316",41.6032464,-80.3010642,USA,Pennsylvania,Crawford County,Conneaut Lake,16316,Conneaut Lake Road,,9,"Conneaut Lake Road, Conneaut Lake, PA 16316, United States of America",street
Dollar General # 13230,33912 State Highway 408,Townville,PA,16360,"33912 State Highway 408 Townville, PA 16360",41.672368,-79.870841,United States of America,Pennsylvania,,Townville,,State Rte 408,,9,"State Rte 408, Townville, PA, United States of America",street
Dollar General # 15841,1900 Kylertown Drifting Hwy,Kylertown,PA,16847,"1900 Kylertown Drifting Hwy Kylertown, PA 16847",40.980518,-78.179321,USA,Pennsylvania,Clearfield County,Morris Township,16847,Kylertown Drifting Highway,,8,"Kylertown Drifting Highway, Morris Township, PA 16847, United States of America",street
Dollar General # 4964,900 Water St,Meadville,PA,16335,"900 Water St Meadville, PA 16335",41.638741,-80.155151,USA,Pennsylvania,Crawford County,Meadville,16335,Water Street,900,10,"900 Water Street, Meadville, PA 16335, United States of America",number
Dollar General # 620,260 Lincoln Way W,Mc Connellsburg,PA,17233,"260 Lincoln Way W Mc Connellsburg, PA 17233",39.987615,-78.059669,United States of America,Pennsylvania,,Harrisonville,,Lincoln Hwy,,4,"Lincoln Hwy, Harrisonville, PA, United States of America",street
Dollar General # 16908,24095 State Highway 77,Meadville,PA,16335,"24095 State Highway 77 Meadville, PA 16335",41.672874,-80.061516,United States of America,Pennsylvania,,Meadville,,State Rte 77,,9,"State Rte 77, Meadville, PA, United States of America",street
Dollar General # 19674,12543 Reed Ave,Conneaut Lake,PA,16316,"12543 Reed Ave Conneaut Lake, PA 16316",41.636924,-80.318072,United States of America,Pennsylvania,,Conneaut Lake,,Reed Ave,,8,"Reed Ave, Conneaut Lake, PA, United States of America",street
Dollar General # 189,18829 Sandy Ridge Sta,Orbisonia,PA,17243,"18829 Sandy Ridge Sta Orbisonia, PA 17243",39.782314,-77.725652,United States of America,Pennsylvania,,Greencastle,,S Ridge Ave,,4,"S Ridge Ave, Greencastle, PA, United States of America",street
Dollar General # 11928,822 S Saint Marys St,Saint Marys,PA,15857,"822 S Saint Marys St Saint Marys, PA 15857",41.4264985,-78.56106939999999,USA,Pennsylvania,Elk County,Saint Marys,15857,South Saint Marys Street,,9,"South Saint Marys Street, Saint Marys, PA 15857, United States of America",street
Dollar General # 16021,125 E Shirley St.,Mount Union,PA,17066,"125 E Shirley St. Mount Union, PA 17066",40.3824119,-77.8789731,USA,Pennsylvania,Huntingdon County,Mount Union,17066,East Shirley Street,125,10,"125 East Shirley Street, Mount Union, PA 17066, United States of America",number
Dollar General # 12873,1801 State Hwy 285,Espyville,PA,16424,"1801 State Hwy 285 Espyville, PA 16424",41.617013,-80.464557,United States of America,Pennsylvania,,Linesville,,State Dr,,4,"State Dr, Linesville, PA, United States of America",street
Dollar General # 9470,6164 Us Highway 6,Linesville,PA,16424,"6164 Us Highway 6 Linesville, PA 16424",41.656044,-80.40660800000001,United States of America,Pennsylvania,,Linesville,,US Hwy 6,6164,10,"6164 US Hwy 6, Linesville, PA, United States of America",number
Dollar General # 12882,533 Main St,Saegertown,PA,16433,"533 Main St Saegertown, PA 16433",41.7241449,-80.1488088,USA,Pennsylvania,Crawford County,Saegertown,16433,Main Street,,9,"Main Street, Saegertown, PA 16433, United States of America",street
Dollar General # 12438,134 Path Valley Rd,Fort Loudon,PA,17224,"134 Path Valley Rd Fort Loudon, PA 17224",39.9158519,-77.9104038,USA,Pennsylvania,Franklin County,Fort Loudon,17224,Path Valley Road,134,10,"134 Path Valley Road, Fort Loudon, PA 17224, United States of America",number
Dollar General # 6289,742 Venango Ave,Cambridge Springs,PA,16403,"742 Venango Ave Cambridge Springs, PA 16403",41.798947,-80.070153,USA,Pennsylvania,Crawford County,Cambridge Springs,16403,Venango Avenue,742,10,"742 Venango Avenue, Cambridge Springs, PA 16403, United States of America",number
Dollar General # 18479,24467 State Highway 8,Union City,PA,16438,"24467 State Highway 8 Union City, PA 16438",41.819797,-79.808015,United States of America,Pennsylvania,,Union City,,State Rte 8,,7,"State Rte 8, Union City, PA, United States of America",street
Dollar General # 13022,1901 Main St,Conneautville,PA,16406,"1901 Main St Conneautville, PA 16406",41.7504005,-80.3620293,USA,Pennsylvania,Crawford County,Conneautville,16406,Main Street,1901,10,"1901 Main Street, Conneautville, PA 16406, United States of America",number
Dollar General # 10797,16329 Route 8,Union City,PA,16438,"16329 Route 8 Union City, PA 16438",41.889264,-79.847234,United States of America,Pennsylvania,,Union City,,State Rte 8,,7,"State Rte 8, Union City, PA, United States of America",street
Dollar General # 10312,220 W Plum St Ste 808,Edinboro,PA,16412,"220 W Plum St Ste 808 Edinboro, PA 16412",41.8761928,-80.1355003,USA,Pennsylvania,Erie County,Edinboro,16412,West Plum Street,220,10,"220 West Plum Street, Edinboro, PA 16412, United States of America",number
Dollar General # 4653,12674 Rt 19 S,Waterford,PA,16441,"12674 Rt 19 S Waterford, PA 16441",41.902797,-79.986671,United States of America,Pennsylvania,,Waterford,,Rte 19,,6,"Rte 19, Waterford, PA, United States of America",street
Dollar General # 2132,406 E Main St,Corry,PA,16407,"406 E Main St Corry, PA 16407",41.921244,-79.6335405,USA,Pennsylvania,Erie County,Corry,16407,East Main Street,406,10,"406 East Main Street, Corry, PA 16407, United States of America",number
Dollar General # 14706,405 W. Columbus Ave.,Corry,PA,16407,"405 W. Columbus Ave. Corry, PA 16407",41.9345072,-79.6582842,USA,Pennsylvania,Erie County,Corry,16407,West Columbus Avenue,405,10,"405 West Columbus Avenue, Corry, PA 16407, United States of America",number
Dollar General # 8482,73 Railroad St,Youngsville,PA,16371,"73 Railroad St Youngsville, PA 16371",41.850271,-79.3171679,USA,Pennsylvania,Warren County,Youngsville,16371,Railroad Street,73,10,"73 Railroad Street, Youngsville, PA 16371, United States of America",number
Dollar General # 1495,10541 Route 6n,Albion,PA,16401,"10541 Route 6n Albion, PA 16401",41.891253,-80.408641,United States of America,Pennsylvania,,Albion,,Rte 6n,,8,"Rte 6n, Albion, PA, United States of America",street
Dollar General # 12982,245 Crary St,Sheffield,PA,16347,"245 Crary St Sheffield, PA 16347",41.704805,-79.022643,United States of America,Pennsylvania,,Sheffield,,Crary Ave,,7,"Crary Ave, Sheffield, PA, United States of America",street
Dollar General # 16134,15455 Route 6,Clarendon,PA,16313,"15455 Route 6 Clarendon, PA 16313",41.806885,-79.093761,United States of America,Pennsylvania,,Clarendon,,Old Rte 6,,6,"Old Rte 6, Clarendon, PA, United States of America",street
Dollar General # 2299,40 Market St,Warren,PA,16365,"40 Market St Warren, PA 16365",41.8748463,-79.1525474,USA,Pennsylvania,Warren County,Conewango Township,16365,Market Street,40,10,"40 Market Street, Conewango Township, PA 16365, United States of America",number
Dollar General # 14462,13970 State Route 8,Wattsburg,PA,16442,"13970 State Route 8 Wattsburg, PA 16442",42.016331,-79.816498,United States of America,Pennsylvania,,Wattsburg,,State Rte 8,13970,10,"13970 State Rte 8, Wattsburg, PA, United States of America",number
Dollar General # 13937,5212 West Road,Mc Kean,PA,16426,"5212 West Road Mc Kean, PA 16426",41.718111,-80.165143,United States of America,Pennsylvania,,Saegertown,,Mook Rd,,4,"Mook Rd, Saegertown, PA, United States of America",street
