name,address1,city,state,zip,full_address,g_lat,g_lon,g_country,g_state,g_county,g_city,g_postcode,g_street,g_number,g_confidence,g_formatted,g_quality
Dollar General # 4557,12259 Route 30,North Huntingdon,PA,15642,"12259 Route 30 North Huntingdon, PA 15642",40.31875,-79.68272899999999,United States of America,Pennsylvania,,Irwin,,Old Rte 30,,5,"Old Rte 30, Irwin, PA, United States of America",street
Dollar General # 18393,205 Highland Ave,Herminie,PA,15637,"205 Highland Ave Herminie, PA 15637",40.2614521,-79.7158927,USA,Pennsylvania,Westmoreland County,Sewickley Township,15637,Highland Avenue,205,10,"205 Highland Avenue, Sewickley Township, PA 15637, United States of America",number
Dollar General # 4384,1701 Lincoln Hwy,North Versailles,PA,15137,"1701 Lincoln Hwy North Versailles, PA 15137",40.369904,-79.78418499999999,USA,Pennsylvania,Allegheny County,,15137,Lincoln Highway,1701,10,"1701 Lincoln Highway, North Versailles, PA 15137, United States of America",number
Dollar General # 8740,4500 Broadway Blvd,Monroeville,PA,15146,"4500 Broadway Blvd Monroeville, PA 15146",40.3905838,-79.7660235,USA,Pennsylvania,Allegheny County,Monroeville,15146,Broadway Boulevard,,9,"Broadway Boulevard, Monroeville, PA 15146, United States of America",street
Dollar General # 12330,700 Clay Avenue,Jeannette,PA,15644,"700 Clay Avenue Jeannette, PA 15644",40.32892,-79.62099600000001,USA,Pennsylvania,Westmoreland County,Jeannette,15644,Clay Avenue,700,10,"700 Clay Avenue, Jeannette, PA 15644, United States of America",number
Dollar General # 7091,5724 Smithfield St,Mckeesport,PA,15135,"5724 Smithfield St Mckeesport, PA 15135",40.310934,-79.825986,United States of America,Pennsylvania,,McKeesport,,Smithfield St,,8,"Smithfield St, McKeesport, PA, United States of America",street
Dollar General # 19273,3600 Walnut St,Mckeesport,PA,15132,"3600 Walnut St Mckeesport, PA 15132",40.3306174,-79.8432705,USA,Pennsylvania,Allegheny County,McKeesport,15132,Walnut Street,3600,10,"3600 Walnut Street, McKeesport, PA 15132, United States of America",number
Dollar General # 13123,100 Westinghouse Avenue,Wilmerding,PA,15148,"100 Westinghouse Avenue Wilmerding, PA 15148",40.3893484,-79.81075749999999,USA,Pennsylvania,Allegheny County,Wilmerding,15148,Westinghouse Avenue,,9,"Westinghouse Avenue, Wilmerding, PA 15148, United States of America",street
Dollar General # 17870,420 Scenery Dr,Elizabeth,PA,15037,"420 Scenery Dr Elizabeth, PA 15037",40.2760641,-79.8379717,USA,Pennsylvania,Allegheny County,Elizabeth Township,15037,Scenery Drive,420,10,"420 Scenery Drive, Elizabeth Township, PA 15037, United States of America",number
Dollar General # 10875,5032 William Penn Hwy,Monroeville,PA,15146,"5032 William Penn Hwy Monroeville, PA 15146",40.4385078,-79.7706657,USA,Pennsylvania,Allegheny County,Monroeville,15146,William Penn Highway,,9,"William Penn Highway, Monroeville, PA 15146, United States of America",street
Dollar General # 14967,740 Lysle Blvd.,Mckeesport,PA,15132,"740 Lysle Blvd. Mckeesport, PA 15132",40.3523113,-79.8576942,USA,Pennsylvania,Allegheny County,McKeesport,15132,Lysle Boulevard,740,10,"740 Lysle Boulevard, McKeesport, PA 15132, United States of America",number
Dollar General # 18349,4590 Route 136,Greensburg,PA,15601,"4590 Route 136 Greensburg, PA 15601",40.287976,-79.5796,United States of America,Pennsylvania,,Greensburg,,State Rte 136,,6,"State Rte 136, Greensburg, PA, United States of America",street
Dollar General # 7927,120 Penn Avenue,Turtle Creek,PA,15145,"120 Penn Avenue Turtle Creek, PA 15145",40.4059663,-79.82624180000001,USA,Pennsylvania,Allegheny County,Turtle Creek,15145,Penn Avenue,120,9,"Dollar General, 120 Penn Avenue, Turtle Creek, PA 15145, United States of America",number
Dollar General # 3606,1830 Pennsylvania Ave,West Mifflin,PA,15122,"1830 Pennsylvania Ave West Mifflin, PA 15122",40.3621753,-79.86232219999999,USA,Pennsylvania,Allegheny County,West Mifflin,15122,Pennsylvania Avenue,1830,10,"1830 Pennsylvania Avenue, West Mifflin, PA 15122, United States of America",number
Dollar General # 7214,1515 Washington Blvd,Mckeesport,PA,15133,"1515 Washington Blvd Mckeesport, PA 15133",40.335138,-79.88112599999999,United States of America,Pennsylvania,,McKeesport,,Washington Blvd,,8,"Washington Blvd, McKeesport, PA, United States of America",street
Dollar General # 2037,160 Mt Pleasant Road,West Newton,PA,15089,"160 Mt Pleasant Road West Newton, PA 15089",40.204637,-79.75761799999999,United States of America,Pennsylvania,,West Newton,,Mt Pleasant Rd,,8,"Mt Pleasant Rd, West Newton, PA, United States of America",street
Dollar General # 4355,351 Hoffman Blvd,Duquesne,PA,15110,"351 Hoffman Blvd Duquesne, PA 15110",40.3849906,-79.862662,USA,Pennsylvania,Allegheny County,Duquesne,15110,Hoffman Boulevard,,9,"Hoffman Boulevard, Duquesne, PA 15110, United States of America",street
Dollar General # 3043,430 Route 22,Delmont,PA,15626,"430 Route 22 Delmont, PA 15626",40.399951,-79.58332299999999,United States of America,Pennsylvania,,Delmont,,US Hwy 22,,4,"US Hwy 22, Delmont, PA, United States of America",street
Dollar General # 10426,995 Greensburg Pike,East Pittsburgh,PA,15112,"995 Greensburg Pike East Pittsburgh, PA 15112",40.415331,-79.83853999999999,United States of America,Pennsylvania,,East Pittsburgh,,Greensburg Pike,,8,"Greensburg Pike, East Pittsburgh, PA, United States of America",street
Dollar General # 9002,28 Monongahela Ave,Glassport,PA,15045,"28 Monongahela Ave Glassport, PA 15045",40.336003,-79.89054659999999,USA,Pennsylvania,Allegheny County,Glassport,15045,Monongahela Avenue,28,10,"28 Monongahela Avenue, Glassport, PA 15045, United States of America",number
Dollar General # 11536,700 Worthington Ave,Clairton,PA,15025,"700 Worthington Ave Clairton, PA 15025",40.292249,-79.889539,USA,Pennsylvania,Allegheny County,Clairton,15025,Worthington Avenue,700,10,"700 Worthington Avenue, Clairton, PA 15025, United States of America",number
Dollar General # 542,352 N 2nd Ave,Elizabeth,PA,15037,"352 N 2nd Ave Elizabeth, PA 15037",40.2738333,-79.8856959,USA,Pennsylvania,Allegheny County,Elizabeth,15037,North 2nd Avenue,352,10,"352 North 2nd Avenue, Elizabeth, PA 15037, United States of America",number
Dollar General # 7798,450 S Main St,Greensburg,PA,15601,"450 S Main St Greensburg, PA 15601",40.2988701,-79.543156,USA,Pennsylvania,Westmoreland County,Southwest Greensburg,15601,South Main Street,450,10,"450 South Main Street, Southwest Greensburg, PA 15601, United States of America",number
Dollar General # 18916,115 W Pennsylvania Ave,New Stanton,PA,15672,"115 W Pennsylvania Ave New Stanton, PA 15672",40.2159684,-79.6095524,USA,Pennsylvania,Westmoreland County,New Stanton,15672,West Pennsylvania Avenue,115,10,"115 West Pennsylvania Avenue, New Stanton, PA 15672, United States of America",number
Dollar General # 16740,250 South 3rd Street Suite 104,Youngwood,PA,15697,"250 South 3rd Street Suite 104 Youngwood, PA 15697",40.235732,-79.5806752,USA,Pennsylvania,Westmoreland County,Youngwood,15697,South 3rd Street,250,10,"250 South 3rd Street, Youngwood, PA 15697, United States of America",number
Dollar General # 17953,225 Huff Ave,Greensburg,PA,15601,"225 Huff Ave Greensburg, PA 15601",40.2812249,-79.5475716,USA,Pennsylvania,Westmoreland County,South Greensburg,15601,Huff Avenue,225,10,"225 Huff Avenue, South Greensburg, PA 15601, United States of America",number
Dollar General # 16488,2409 Rte 286,Plum,PA,15239,"2409 Rte 286 Plum, PA 15239",40.469747,-79.706361,United States of America,Pennsylvania,,Pittsburgh,,State Rte 286,,8,"State Rte 286, Pittsburgh, PA, United States of America",street
Dollar General # 14985,5800 Buttermilk Hollow Rd,Pittsburgh,PA,15207,"5800 Buttermilk Hollow Rd Pittsburgh, PA 15207",40.3623007,-79.9075876,USA,Pennsylvania,Allegheny County,West Mifflin,15122,Buttermilk Hollow Road,,9,"Buttermilk Hollow Road, West Mifflin, PA 15122, United States of America",street
Dollar General # 17869,2610 S Braddock Ave,Swissvale,PA,15218,"2610 S Braddock Ave Swissvale, PA 15218",40.4274071,-79.890986,USA,Pennsylvania,Allegheny County,Edgewood,15218,South Braddock Avenue,,9,"South Braddock Avenue, Edgewood, PA 15218, United States of America",street
Dollar General # 18694,1517 State Route 51,Clairton,PA,15025,"1517 State Route 51 Clairton, PA 15025",40.297997,-79.92028000000001,United States of America,Pennsylvania,,Clairton,,State Rte 51,1517,10,"1517 State Rte 51, Clairton, PA, United States of America",number
Dollar General # 12372,1729 Rostraver Rd,Belle Vernon,PA,15012,"1729 Rostraver Rd Belle Vernon, PA 15012",40.176604,-79.805815,United States of America,Pennsylvania,,Belle Vernon,,Rostraver Rd,1729,10,"1729 Rostraver Rd, Belle Vernon, PA, United States of America",number
Dollar General # 1126,7248 Saltsburg Rd,Pittsburgh,PA,15235,"7248 Saltsburg Rd Pittsburgh, PA 15235",40.476699,-79.78870000000001,United States of America,Pennsylvania,,Pittsburgh,,Saltsburg Rd,7248,10,"7248 Saltsburg Rd, Pittsburgh, PA, United States of America",number
Dollar General # 19281,7402 Church St,Swissvale,PA,15218,"7402 Church St Swissvale, PA 15218",40.4219111,-79.89016669999999,USA,Pennsylvania,Allegheny County,Swissvale,15218,Church Street,7402,10,"7402 Church Street, Swissvale, PA 15218, United States of America",number
Dollar General # 7878,10730 Frankstown Rd,Penn Hills,PA,15235,"10730 Frankstown Rd Penn Hills, PA 15235",40.4609616,-79.8413898,USA,Pennsylvania,Allegheny County,,15235,Frankstown Road,10730,10,"10730 Frankstown Road, Penn Hills, PA 15235, United States of America",number
Dollar General # 9694,325 E 8th Ave,Homestead,PA,15120,"325 E 8th Ave Homestead, PA 15120",40.4081887,-79.9088199,USA,Pennsylvania,Allegheny County,Homestead,15120,East 8th Avenue,325,10,"325 East 8th Avenue, Homestead, PA 15120, United States of America",number
Dollar General # 17160,1227 State Route 837,Jefferson Hills,PA,15025,"1227 State Route 837 Jefferson Hills, PA 15025",40.315269,-79.89707300000001,United States of America,Pennsylvania,,Clairton,,State Rte 837,,8,"State Rte 837, Clairton, PA, United States of America",street
Dollar General # 12542,1714 Laketon Road,Wilkinsburg,PA,15221,"1714 Laketon Road Wilkinsburg, PA 15221",40.4490222,-79.8670158,USA,Pennsylvania,Allegheny County,Wilkinsburg,15221,Laketon Road,1714,10,"1714 Laketon Road, Wilkinsburg, PA 15221, United States of America",number
Dollar General # 9159,5142 Route 30 Ste145,Greensburg,PA,15601,"5142 Route 30 Ste145 Greensburg, PA 15601",40.299774,-79.48733300000001,United States of America,Pennsylvania,,Greensburg,,Old State Rte 30,,5,"Old State Rte 30, Greensburg, PA, United States of America",street
Dollar General # 8554,716 Clairton Blvd,Pittsburgh,PA,15236,"716 Clairton Blvd Pittsburgh, PA 15236",40.363872,-79.984087,United States of America,Pennsylvania,,Pittsburgh,,Clairton Blvd,,8,"Clairton Blvd, Pittsburgh, PA, United States of America",street
Dollar General # 8972,700 Penn Ave,Wilkinsburg,PA,15221,"700 Penn Ave Wilkinsburg, PA 15221",40.443548,-79.884632,USA,Pennsylvania,Allegheny County,Wilkinsburg,15221,Penn Avenue,700,10,"700 Penn Avenue, Wilkinsburg, PA 15221, United States of America",number
Dollar General # 9350,12818 Frankstown Rd,Pittsburgh,PA,15235,"12818 Frankstown Rd Pittsburgh, PA 15235",40.4608599,-79.8684981,USA,Pennsylvania,Allegheny County,,15235,Frankstown Road,,9,"Frankstown Road, Penn Hills, PA 15235, United States of America",street
Dollar General # 4971,271 Meldon Ave,Donora,PA,15033,"271 Meldon Ave Donora, PA 15033",40.1737106,-79.8565511,USA,Pennsylvania,Washington County,Donora,15033,Meldon Avenue,271,10,"271 Meldon Avenue, Donora, PA 15033, United States of America",number
Dollar General # 16236,1103 State Route 31,Tarrs,PA,15688,"1103 State Route 31 Tarrs, PA 15688",40.169599,-79.59589099999999,United States of America,Pennsylvania,,Tarrs,,State Rte 31,,8,"State Rte 31, Tarrs, PA, United States of America",street
Dollar General # 18057,93 Joseph St,Pittsburgh,PA,15227,"93 Joseph St Pittsburgh, PA 15227",40.4673431,-79.9120132,USA,Pennsylvania,Allegheny County,Pittsburgh,15206,Joseph Street,93,10,"93 Joseph Street, Pittsburgh, PA 15206, United States of America",number
Dollar General # 18119,2708 State Route 119,Crabtree,PA,15624,"2708 State Route 119 Crabtree, PA 15624",40.366357,-79.465639,United States of America,Pennsylvania,,Crabtree,,US Hwy 119,,8,"US Hwy 119, Crabtree, PA, United States of America",street
Dollar General # 13983,2211 Mt Pleasant Rd,Mount Pleasant,PA,15666,"2211 Mt Pleasant Rd Mount Pleasant, PA 15666",40.3167951,-77.55152560000001,USA,Pennsylvania,Perry County,Mount Pleasant,17006,Mt Pleasant Road,2211,10,"2211 Mt Pleasant Road, Mount Pleasant, PA 17006, United States of America",number
Dollar General # 42,1237 W Main St,Monongahela,PA,15063,"1237 W Main St Monongahela, PA 15063",40.206593,-79.9384245,USA,Pennsylvania,Washington County,Monongahela,15063,West Main Street,1237,10,"1237 West Main Street, Monongahela, PA 15063, United States of America",number
Dollar General # 7411,465 Donner Ave,Monessen,PA,15062,"465 Donner Ave Monessen, PA 15062",40.1618398,-79.8851815,USA,Pennsylvania,Westmoreland County,Monessen,15062,Donner Avenue,465,9,"Dollar General, 465 Donner Avenue, Monessen, PA 15062, United States of America",number
Dollar General # 12185,3750 Saw Mill Run Blvd,Pittsburgh,PA,15227,"3750 Saw Mill Run Blvd Pittsburgh, PA 15227",40.3826449,-79.9960341,USA,Pennsylvania,Allegheny County,Pittsburgh,15227,Saw Mill Run Boulevard,,9,"Saw Mill Run Boulevard, Pittsburgh, PA 15227, United States of America",street
Dollar General # 19267,123 N Sheridan Ave,East Liberty,PA,15206,"123 N Sheridan Ave East Liberty, PA 15206",40.4612374,-79.9236841,USA,Pennsylvania,Allegheny County,Pittsburgh,15206,Sheridan Avenue,123,10,"123 Sheridan Avenue, Pittsburgh, PA 15206, United States of America",number
Dollar General # 15784,2301 Brownsville Road,South Park,PA,15129,"2301 Brownsville Road South Park, PA 15129",40.297492,-79.994467,United States of America,Pennsylvania,,Library,,Brownsville Rd,,6,"Brownsville Rd, Library, PA, United States of America",street
Dollar General # 16306,720 Rostraver Road,Belle Vernon,PA,15012,"720 Rostraver Road Belle Vernon, PA 15012",40.136432,-79.84288599999999,United States of America,Pennsylvania,,Belle Vernon,,Rostraver Rd,720,10,"720 Rostraver Rd, Belle Vernon, PA, United States of America",number
Dollar General # 15559,4725 Centre Ave,Pittsburgh,PA,15213,"4725 Centre Ave Pittsburgh, PA 15213",40.4529574,-79.94877390000001,USA,Pennsylvania,Allegheny County,Pittsburgh,15213,Centre Avenue,4725,10,"4725 Centre Avenue, Pittsburgh, PA 15213, United States of America",number
Dollar General # 4992,200 S Flower Way,Mount Pleasant,PA,15666,"200 S Flower Way Mount Pleasant, PA 15666",40.161024,-79.50981400000001,United States of America,Pennsylvania,,Mount Pleasant,,,,6,"Mount Pleasant, PA, United States of America",city
Dollar General # 7672,494 Pittsburg St,Springdale,PA,15144,"494 Pittsburg St Springdale, PA 15144",40.540647,-79.78679099999999,USA,Alabama,Jefferson County,Birmingham,35217,Pittsburg Street,494,10,"494 Pittsburg Street, Birmingham, AL 35217, United States of America",number
Dollar General # 15114,4215 Rt. 66,Apollo,PA,15613,"4215 Rt. 66 Apollo, PA 15613",40.568666,-79.578509,United States of America,Pennsylvania,,Apollo,,State Rte 66,,6,"State Rte 66, Apollo, PA, United States of America",street
Dollar General # 7673,1811 Main St,Sharpsburg,PA,15215,"1811 Main St Sharpsburg, PA 15215",40.4942953,-79.92007769999999,USA,Pennsylvania,Allegheny County,Sharpsburg,15215,Main Street,1811,10,"1811 Main Street, Sharpsburg, PA 15215, United States of America",number
Dollar General # 2447,110 Mckean Ave,Charleroi,PA,15022,"110 Mckean Ave Charleroi, PA 15022",40.1353849,-79.8939487,USA,Pennsylvania,Washington County,Charleroi,15022,McKean Avenue,110,10,"110 McKean Avenue, Charleroi, PA 15022, United States of America",number
Dollar General # 19007,700 E Warrington Ave,Pittsburgh,PA,15210,"700 E Warrington Ave Pittsburgh, PA 15210",40.421693,-79.99565200000001,USA,Pennsylvania,Allegheny County,Pittsburgh,15210,East Warrington Avenue,700,10,"700 East Warrington Avenue, Pittsburgh, PA 15210, United States of America",number
Dollar General # 7045,3060 Sussex Ave,Pittsburgh,PA,15226,"3060 Sussex Ave Pittsburgh, PA 15226",40.3839848,-80.0158373,USA,Pennsylvania,Allegheny County,Baldwin Township,15226,Sussex Avenue,3060,10,"3060 Sussex Avenue, Baldwin Township, PA 15226, United States of America",number
Dollar General # 13996,6239 Route 88,Finleyville,PA,15332,"6239 Route 88 Finleyville, PA 15332",40.270131,-80.01708000000001,United States of America,Pennsylvania,,Finleyville,,State Rte 88,,8,"State Rte 88, Finleyville, PA, United States of America",street
Dollar General # 817,5000 Library Rd,Bethel Park,PA,15102,"5000 Library Rd Bethel Park, PA 15102",40.3337268,-80.0241295,USA,Pennsylvania,Allegheny County,Bethel Park,15129,Library Road,,9,"Library Road, Bethel Park, PA 15129, United States of America",street
Dollar General # 10207,101 Constitution St,Perryopolis,PA,15473,"101 Constitution St Perryopolis, PA 15473",40.0886514,-79.7484609,USA,Pennsylvania,Fayette County,Perryopolis,15473,Constitution Street,,9,"Constitution Street, Perryopolis, PA 15473, United States of America",street
Dollar General # 8024,818 Crossroads Plz,Mount Pleasant,PA,15666,"818 Crossroads Plz Mount Pleasant, PA 15666",40.161024,-79.50981400000001,United States of America,Pennsylvania,,Mount Pleasant,,,,6,"Mount Pleasant, PA, United States of America",city
Dollar General # 10729,412 Pittsburgh St,Scottdale,PA,15683,"412 Pittsburgh St Scottdale, PA 15683",40.1020359,-79.5907917,USA,Pennsylvania,Westmoreland County,Scottdale,15683,Pittsburgh Street,412,10,"412 Pittsburgh Street, Scottdale, PA 15683, United States of America",number
Dollar General # 14903,797 Industrial Blvd.,New Kensington,PA,15068,"797 Industrial Blvd. New Kensington, PA 15068",40.5633672,-79.767838,USA,Pennsylvania,Westmoreland County,New Kensington,15068,Industrial Boulevard,797,10,"797 Industrial Boulevard, New Kensington, PA 15068, United States of America",number
Dollar General # 2561,810 Ligonier St,Latrobe,PA,15650,"810 Ligonier St Latrobe, PA 15650",40.3167841,-79.38495210000001,USA,Pennsylvania,Westmoreland County,Latrobe,15650,Ligonier Street,810,10,"810 Ligonier Street, Latrobe, PA 15650, United States of America",number
Dollar General # 3975,1032 Latrobe 30 Plz #401,Latrobe,PA,15650,"1032 Latrobe 30 Plz #401 Latrobe, PA 15650",40.32118,-79.37948,United States of America,Pennsylvania,,Latrobe,,,,6,"Latrobe, PA, United States of America",city
Dollar General # 10277,1695 Mcfarland Rd,Pittsburgh,PA,15216,"1695 Mcfarland Rd Pittsburgh, PA 15216",40.396235,-80.046429,United States of America,Pennsylvania,,Pittsburgh,,McFarland Rd,1695,10,"1695 McFarland Rd, Pittsburgh, PA, United States of America",number
Dollar General # 10203,315 Cochran Rd,Mount Lebanon,PA,15228,"315 Cochran Rd Mount Lebanon, PA 15228",40.381076,-80.05248539999999,USA,Pennsylvania,Allegheny County,,15228,Cochran Road,315,10,"315 Cochran Road, Mount Lebanon, PA 15228, United States of America",number
Dollar General # 19008,1215 Brighton Rd,Pittsburgh,PA,15233,"1215 Brighton Rd Pittsburgh, PA 15233",40.4552876,-80.0151479,USA,Pennsylvania,Allegheny County,Pittsburgh,15233,Brighton Road,1215,10,"1215 Brighton Road, Pittsburgh, PA 15233, United States of America",number
Dollar General # 8779,3247 Leechburg Rd,Lower Burrell,PA,15068,"3247 Leechburg Rd Lower Burrell, PA 15068",40.5849417,-79.70737870000001,USA,Pennsylvania,Westmoreland County,Lower Burrell,15068,Leechburg Road,3247,10,"3247 Leechburg Road, Lower Burrell, PA 15068, United States of America",number
Dollar General # 19684,1701 Babcock Blvd,Millvale,PA,15209,"1701 Babcock Blvd Millvale, PA 15209",40.500948,-79.980957,United States of America,Pennsylvania,,Pittsburgh,,Babcock Blvd,1701,10,"1701 Babcock Blvd, Pittsburgh, PA, United States of America",number
Dollar General # 9007,1916 Lincoln Rd,Latrobe,PA,15650,"1916 Lincoln Rd Latrobe, PA 15650",40.308654,-79.37356200000001,United States of America,Pennsylvania,,Latrobe,,Lincoln Ave,,9,"Lincoln Ave, Latrobe, PA, United States of America",street
Dollar General # 13449,600 Chester Avenue,Roscoe,PA,15477,"600 Chester Avenue Roscoe, PA 15477",40.0798564,-79.8647979,USA,Pennsylvania,Washington County,Roscoe,15477,Chester Avenue,600,10,"600 Chester Avenue, Roscoe, PA 15477, United States of America",number
Dollar General # 19766,105 Kenmont Ave,Lower Burrell,PA,15068,"105 Kenmont Ave Lower Burrell, PA 15068",40.5902669,-79.7383995,USA,Pennsylvania,Westmoreland County,Lower Burrell,15068,Kenmont Avenue,105,10,"105 Kenmont Avenue, Lower Burrell, PA 15068, United States of America",number
Dollar General # 14189,4402 State Route 981,Avonmore,PA,15618,"4402 State Route 981 Avonmore, PA 15618",40.517536,-79.476072,United States of America,Pennsylvania,,Avonmore,,State Rte 981,,8,"State Rte 981, Avonmore, PA, United States of America",street
Dollar General # 8892,404 Leech Ave,Saltsburg,PA,15681,"404 Leech Ave Saltsburg, PA 15681",40.49203,-79.45055600000001,United States of America,Pennsylvania,,Saltsburg,,Leech Ave,,8,"Leech Ave, Saltsburg, PA, United States of America",street
Dollar General # 8103,131 Bradford Ave,Crafton,PA,15205,"131 Bradford Ave Crafton, PA 15205",40.4340805,-80.0665422,USA,Pennsylvania,Allegheny County,Crafton,15205,Bradford Avenue,131,10,"131 Bradford Avenue, Crafton, PA 15205, United States of America",number
Dollar General # 247,201 Wood St,California,PA,15419,"201 Wood St California, PA 15419",40.067416,-79.889875,USA,Pennsylvania,Washington County,California,15419,Wood Street,201,10,"201 Wood Street, California, PA 15419, United States of America",number
Dollar General # 18539,2872 Route 31,Acme,PA,15610,"2872 Route 31 Acme, PA 15610",40.128688,-79.440218,United States of America,Pennsylvania,,Acme,,State Rte 31,,8,"State Rte 31, Acme, PA, United States of America",street
Dollar General # 4865,105 Wilson Rd,Bentleyville,PA,15314,"105 Wilson Rd Bentleyville, PA 15314",40.1266642,-80.00405139999999,USA,Pennsylvania,Washington County,Bentleyville,15314,Wilson Road,105,10,"105 Wilson Road, Bentleyville, PA 15314, United States of America",number
Dollar General # 20276,523 Franklin Ave,Vandergrift,PA,15690,"523 Franklin Ave Vandergrift, PA 15690",40.5976894,-79.5668337,USA,Pennsylvania,Westmoreland County,Vandergrift,15690,Franklin Avenue,523,10,"523 Franklin Avenue, Vandergrift, PA 15690, United States of America",number
Dollar General # 13486,1710 Broadview Blvd,Natrona Heights,PA,15065,"1710 Broadview Blvd Natrona Heights, PA 15065",40.621659,-79.727287,USA,Pennsylvania,Allegheny County,Brackenridge,15065,Broadview Boulevard,1710,10,"1710 Broadview Boulevard, Brackenridge, PA 15065, United States of America",number
Dollar General # 7003,2412 Ferguson Rd,Allison Park,PA,15101,"2412 Ferguson Rd Allison Park, PA 15101",40.5565143,-79.97294890000001,USA,Pennsylvania,Allegheny County,,15101,Ferguson Road,2412,10,"2412 Ferguson Road, Hampton Township, PA 15101, United States of America",number
Dollar General # 7220,1900 River Road,North Apollo,PA,15673,"1900 River Road North Apollo, PA 15673",40.597451,-79.557126,United States of America,Pennsylvania,,North Apollo,,River Rd,,8,"River Rd, North Apollo, PA, United States of America",street
Dollar General # 4313,1001 S Leechburg Hll Rd 2,Leechburg,PA,15656,"1001 S Leechburg Hll Rd 2 Leechburg, PA 15656",40.6252,-79.609105,United States of America,Pennsylvania,,Leechburg,,S Leechburg Hill Rd,,7,"S Leechburg Hill Rd, Leechburg, PA, United States of America",street
Dollar General # 4436,608 Route 217,Latrobe,PA,15650,"608 Route 217 Latrobe, PA 15650",40.32138,-79.318753,United States of America,Pennsylvania,,Latrobe,,State Rte 217,,6,"State Rte 217, Latrobe, PA, United States of America",street
Dollar General # 4607,491 Lincoln Ave,Bellevue,PA,15202,"491 Lincoln Ave Bellevue, PA 15202",40.495341,-80.05529869999999,USA,Pennsylvania,Allegheny County,Bellevue,15202,Lincoln Avenue,491,10,"491 Lincoln Avenue, Bellevue, PA 15202, United States of America",number
Dollar General # 8549,425 Perry Hwy,West View,PA,15229,"425 Perry Hwy West View, PA 15229",40.5193682,-80.0326044,USA,Pennsylvania,Allegheny County,West View,15229,Perry Highway,425,10,"Dollar General, 425 Perry Highway, West View, PA 15229, United States of America",number
Dollar General # 20044,4706 Route 8,Allison Park,PA,15101,"4706 Route 8 Allison Park, PA 15101",40.567646,-79.95454100000001,United States of America,Pennsylvania,,Allison Park,,Old Rte 8,,6,"Old Rte 8, Allison Park, PA, United States of America",street
Dollar General # 2133,143 N 8th St,Connellsville,PA,15425,"143 N 8th St Connellsville, PA 15425",40.017238,-79.60004600000001,United States of America,Pennsylvania,,Connellsville,,N 8th St,,9,"N 8th St, Connellsville, PA, United States of America",street
Dollar General # 2643,500 Pine Hollow Rd,Mckees Rocks,PA,15136,"500 Pine Hollow Rd Mckees Rocks, PA 15136",40.4703704,-80.0775479,USA,Pennsylvania,Allegheny County,,15136,Pine Hollow Road,,9,"Pine Hollow Road, Stowe Township, PA 15136, United States of America",street
Dollar General # 15169,120 Three Degree Rd Suite A,Pittsburgh,PA,15237,"120 Three Degree Rd Suite A Pittsburgh, PA 15237",40.544432,-80.033942,United States of America,Pennsylvania,,Pittsburgh,,Three Degree Rd,,7,"Three Degree Rd, Pittsburgh, PA, United States of America",street
Dollar General # 14688,325 State Route 66,Leechburg,PA,15656,"325 State Route 66 Leechburg, PA 15656",40.631209,-79.607432,United States of America,Pennsylvania,,Leechburg,,State Rte 66,325,10,"325 State Rte 66, Leechburg, PA, United States of America",number
Dollar General # 7139,115 Roberts Rd,Grindstone,PA,15442,"115 Roberts Rd Grindstone, PA 15442",40.013495,-79.86787699999999,United States of America,Pennsylvania,,Grindstone,,Roberts Rd,115,10,"115 Roberts Rd, Grindstone, PA, United States of America",number
Dollar General # 19485,289 Oak Rd,Gibsonia,PA,15044,"289 Oak Rd Gibsonia, PA 15044",40.62977,-79.888459,United States of America,Pennsylvania,,Gibsonia,,Oak Rd,289,10,"289 Oak Rd, Gibsonia, PA, United States of America",number
Dollar General # 17320,1661 State Route 56,Spring Church,PA,15686,"1661 State Route 56 Spring Church, PA 15686",40.606468,-79.489475,United States of America,Pennsylvania,,Spring Church,,State Rte 56,1661,10,"1661 State Rte 56, Spring Church, PA, United States of America",number
Dollar General # 16359,3220 National Pike,Fredericktown,PA,15333,"3220 National Pike Fredericktown, PA 15333",40.051476,-80.000986,United States of America,Pennsylvania,,Fredericktown,,National Pike,3220,10,"3220 National Pike, Fredericktown, PA, United States of America",number
Dollar General # 13237,145 Adams Ave,Canonsburg,PA,15317,"145 Adams Ave Canonsburg, PA 15317",40.2610974,-80.1785965,USA,Pennsylvania,Washington County,Canonsburg,15317,Adams Avenue,145,10,"145 Adams Avenue, Canonsburg, PA 15317, United States of America",number
Dollar General # 16360,3865 Route 31,Jones Mills,PA,15646,"3865 Route 31 Jones Mills, PA 15646",40.097669,-79.357662,United States of America,Pennsylvania,,Jones Mills,,State Rte 31,,8,"State Rte 31, Jones Mills, PA, United States of America",street
Dollar General # 16630,15 S Morrow Street,Blairsville,PA,15717,"15 S Morrow Street Blairsville, PA 15717",40.4302674,-79.2588721,USA,Pennsylvania,Indiana County,Blairsville,15717,South Morrow Street,15,10,"15 South Morrow Street, Blairsville, PA 15717, United States of America",number
Dollar General # 7278,122 S Fairfield St,Ligonier,PA,15658,"122 S Fairfield St Ligonier, PA 15658",40.2425011,-79.24026240000001,USA,Pennsylvania,Westmoreland County,Ligonier,15658,South Fairfield Street,122,10,"122 South Fairfield Street, Ligonier, PA 15658, United States of America",number
