Store_Number,Store_Name,Address,City,State_Zip
1662,Flourtown Shopping Center,1841 Bethlehem Pike,Flourtown, PA 19031
4164,Lincoln Court,225 Lancaster Avenue,Frazer, PA 19355
1865,Peebles Shopping Center,1275 York Road,Gettysburg, PA 17325
1831,Richland Mall,400 Wal-Mart Drive B1,Gibsonia, PA 15044
5365,West End Plaza,1421 Route 209 Ste 123,Gilbert, PA 18331
6565,9149 Ridge Road,9149 Ridge Road,Girard, PA 16417
6275,Former Shop n Save,937 Ohio Avenue #A,Glassport, PA 15045
4084,Mt Royal Shopping Center,1712 Mount Royal Blvd,Glenshaw, PA 15116
323,Hempfield Plaza,6207 State Route 30 Suite #1090,Greensburg, PA 15601
886,Davis Shopping Center,660 E Pittsburgh St. Ste 5,Greensburg, PA 15601
1482,Greenville Crossings,43 Williamson Road Suite 2,Greenville, PA 16125
2582,Pine Grove Square,21 Pine Grove Square,Grove City, PA 16127
5139,Tilden Ridge,1780 Tilden Ridge Dr,Hamburg, PA 19526
131,Hanover Commons Shopping Cente,428 Eisenhower Drive,Hanover, PA 17331
4336,South Hanover Shopping Center,805 Baltimore St. Ste. 201,Hanover, PA 17331
4263,Northgate Plaza,11 Northgate Plz Unit 21,Harmony, PA 16037
781,Uptown Plaza,2971 North 7th St Suite E,Harrisburg, PA 17110
7572,Former Aaron&39s Rents,3243 Paxton Street ste B,Harrisburg, PA 17111
721,Union Square,3839 Union Deposit Rd,Harrisburg, PA 17109
1689,The Point Shopping Cntr,4267 Union Deposit Road,Harrisburg, PA 17111
5418,Oakhurst Plaza,4424 Oakhurst Blvd,Harrisburg, PA 17110
1603,Rosemore Shopping Center,1001 W. County Line Road,Hatboro, PA 19040
1648,Hilltown Crossing,1537 Bethlehem Pike,Hatfield, PA 19440
425,Laurel Mall,323 Laurel Mall.,Hazleton, PA 18202
1692,Hazelton Shopping Center,562 West Broad Street,Hazleton, PA 18201
2214,Creek Side Marketplace,1832 Leithsville Rd.,Hellertown, PA 18055
47,Hermitage,1950 East State St.,Hermitage, PA 16148
6092,BTS Homestead,713 East 8th Ave,Homestead, PA 15120
1585,Route 6 Mall,650 Old Willow Ave. Unit B,Honesdale, PA 18431
1625,Village Mall Shopping Center,200 Blair Mill Road Suit 5,Horsham, PA 19044
3968,Smithfield Town Center,6668 Town Ctr Blvd,Huntingdon, PA 16652
461,Regency Mall,1570 Oakland Ave Unit #105,Indiana, PA 15701
7282,Frmr True Value Hardware,1112 Lowry Avenue,Jeannette, PA 15644
4537,Shoppes at The Pavilion,323 Old York Road Suite C,Jenkintown, PA 19046
6732,Westwood Plaza,1910 Minno Dr. #A Suite 1A,Johnstown, PA 15905
2904,Richland Town Centre,200 Town Centre Drive,Johnstown, PA 15904
560,Hilltop Plz,9 Hilltop Plaza #11,Kittanning, PA 16201
2361,Village Square,45 Constitution Blvd,Kutztown, PA 19530
1660,Golden Triangle Shopping Cente,1280 Lititz Pike.,Lancaster, PA 17601
4563,Regency Square,165 Rohrerstown Rd,Lancaster, PA 17603
1597,East Town Center,2090 Lincoln Highway E.. #C,Lancaster, PA 17602
7030,Quality Center,2495 Lincoln Highway East,Lancaster, PA 17601
7358,Parkview Plaza,862 Plaza Blvd,Lancaster, PA 17601
1617,Lansdale Pavilion,557 S. Broad Street,Lansdale, PA 19446
2250,Lansdowne,39 N. Lansdowne Ave. Suite 45,Lansdowne, PA 19050
2200,Mountain Laurel Plaza,302 Mountain Laurel Plz,Latrobe, PA 15650
3071,Lebanon Plaza,1201 Quentin Rd.. #8,Lebanon, PA 17042
458,Plaza 422,833 E Walnut St.. Rt 422,Lebanon, PA 17042
5033,Quaker Village,8 Quaker Village Shopping Ctr,Leetsdale, PA 15056
7152,Carbon Plaza,1241 Blakeslee Blvd.,Lehighton, PA 18235
945,West Shore Plaza,1200 Market Street,Lemoyne, PA 17043
1621,Langhorne Square Shopping Cent,1307 Lincoln Hwy,Levittown, PA 19056
4048,Levittown Town Center,157 Levittown Pkwy,Levittown, PA 19055
5523,Levittown,4595 New Falls Rd,Levittown, PA 19056
3832,Silver Moon Plaza,135 AJK Blvd.,Lewisburg, PA 17837
2337,Wal Mart Supercenter,46 Super Center,Lewistown, PA 17044
6671,Parketown Plaza,301 N Lewis Road Suite #95,Limerick, PA 19468
5155,Limerick,447 Ridge Pike,Limerick, PA 19468
6296,Fmr Save A Lot,125 Logans Ferry Road,Lower Burrell, PA 15068
869,Lower Burrell Shopping Center,60 Burrell Plaza,Lower Burrell, PA 15068
3978,Manchester Plaza,225 Glen Drive,Manchester, PA 17345
7730,Penn Town Center,1223 Lancaster Rd Suite 110,Manheim, PA 17545
7036,Freestanding Dollar Tree,1446 S Main Street..,Mansfield, PA 16933
4548,Westfall Town Center,111 Hulst Dr. Ste #709,Matamoras, PA 18336
4501,Olympia Shopping Center,4313 Walnut St Ste. # 10,McKeesport, PA 15132
1060,McDowell Shoppes,4043 Washington Rd,McMurray, PA 15317
7464,Tower Center,1121 Park Avenue,Meadville, PA 16335
942,Meadville Plaza,16039 Conneaut Lake Rd. Ste 101,Meadville, PA 16335
6335,Former Dollar General,2 Gettysburg Pike,Mechanicsburg, PA 17050
1716,Hamden Centre,4860 Carlisle Pike,Mechanicsburg, PA 17050
4904,Media,5110 Pennell Rd,Media, PA 19063
2256,Midtown Plaza,434 East Main St.,Middletown, PA 17057
6858,Buffalo Valley,313 E Chestnut St.,Mifflinburg, PA 17844
5247,Dollar Tree Plaza,212 Hogan Blvd.,Mill Hall, PA 17751
2493,Dollar Tree,100 Golfview Drive,Monaca, PA 15061
6413,Monroeville Plaza,4680 Old William Penn Highway,Monroeville, PA 15146
4702,Birney Mall,3409 Birney Ave Unit 3,Moosic, PA 18507
1602,Morrisville Shopping Center,1 E Trenton Avenue Suite #21,Morrisville, PA 19067
4412,Main Street Center,783 E Main St,Mount Joy, PA 17552
5643,Country Side Plaza,348 Country Side Plaza,Mt. Pleasant, PA 15666
5387,Mt Pocono Plaza,3236 Route 940 Suite 107,Mt. Pocono, PA 18344
3810,Highlands Mall,28 Highlands Mall,Natrona Heights, PA 15065
2479,Nazareth Plaza,865 Nazareth Pike,Nazareth, PA 18064
3930,Town Center of New Britain,426 Town Center,New Britain, PA 18901
520,Wal Mart Supercenter,2567 W. State St..,New Castle, PA 16101
5730,Lawrence Village Shopping Cent,2650 Ellwood Rd. #7.,New Castle, PA 16101
6779,Fairview Commons,110 Old York Rd,New Cumberland, PA 17070
1623,Northtowne Plaza,2888 Dekalb Pike,Norristown, PA 19401
6448,Fmr Walgreens,12119 State Route 30... .,North Huntingdon, PA 15642
2417,The Shoppes at North Huntingdo,8939 Lincoln Highway Suite 108,North Huntingdon, PA 15642
1275,Rossi Plaza,110 Walmart Drive,North Versailles, PA 15137
2932,Montgomery Commons,1200 Welsh Road. Suite A2,North Wales, PA 19454
6485,Oxford Crossing,100 Commons Drive.,Oxford, PA 19363
4232,Northside Commons,109 Northside Commons,Palmyra, PA 17078
1994,West Sadsbury Commons,332 Commons Drive,Parkesburg, PA 19365
5514,Perkasie Square,537 Constitution Avenue,Perkasie, PA 18944
3594,Philadelphia,101 East Olney Ave,Philadelphia, PA 19120
1688,Philadelphia Home & Design Cen,101 Franklin Mills Blvd,Philadelphia, PA 19154
3106,Boulevard Plaza,11000 Roosevelt Blvd,Philadelphia, PA 19116
7688,1100 W Girard Ave,1100 W Girard Ave,Philadelphia, PA 19123
1604,Underground Concourse,1601 Market Street,Philadelphia, PA 19103
3984,Grant Plaza,1619 Grant Avenue,Philadelphia, PA 19115
3834,Oregon Avenue Shopping Center,2017 W Oregon Avenue,Philadelphia, PA 19145
1656,Former Sears Auto,2100 Cottman Ave,Philadelphia, PA 19149
3300,Columbus Commons,2116 S. Columbus Blvd.,Philadelphia, PA 19148
1632,South Philadelphia Shopping Ce,2437 S 23rd Street,Philadelphia, PA 19145
4892,Port Richmond Shopping Center,2489 Aramingo Ave,Philadelphia, PA 19125
7290,Former Church,2500 Wharton Street,Philadelphia, PA 19146
7154,2601 Girard Ave,2601 Girard Ave.,Philadelphia, PA 19130
4269,Blue Bell Shopping Center,2910 S 70th Street Suite 3B,Philadelphia, PA 19142
1781,Penrose Plaza,3000 Island Ave Ste M-P,Philadelphia, PA 19153
4634,Chelten Avenue,301 W Chelten Ave Ste F,Philadelphia, PA 19144
4624,Philadelphia,31 W Girard Ave.,Philadelphia, PA 19123
5776,Grant Avenue,3366 Grant Avenue,Philadelphia, PA 19114
1624,Aramingo Village,3668 Aramingo Ave #9A,Philadelphia, PA 19134
3574,Philadelphia,3829 Aramingo Ave,Philadelphia, PA 19137
5872,USPO Morrell Ave,3854 Morrell Avenue,Philadelphia, PA 19114
7151,4160 Monument Road,4160 Monument Road,Philadelphia, PA 19131
6160,4424 North Broad Street,4424 N Broad Street,Philadelphia, PA 19140
1619,Northeast Tower Center,4600 East Roosevelt Blvd,Philadelphia, PA 19124
730,Snyder Plaza,56 Snyder Ave. Space 25,Philadelphia, PA 19148
7448,571521 N Broad Street,5715 N Broad Street,Philadelphia, PA 19141
5861,Frankford Avenue,6101 Frankford Ave,Philadelphia, PA 19135
5729,Mayfair Center,6429 Sackett Street,Philadelphia, PA 19149
1655,Hunting Park Plaza,700 E Hunting Park Ave,Philadelphia, PA 19124
1436,Ivy Ridge,7106 Ridge Avenue,Philadelphia, PA 19128
3783,City Avenue Shopping Center,7740 City Line Avenue,Philadelphia, PA 19151
1627,Andorra Shopping Center,801 E Cathedral Rd. Store #24,Philadelphia, PA 19128
4507,Bells Corner,8318 Bustleton Ave.,Philadelphia, PA 19152
4536,Shelly Plaza,8920 Frankford Ave.,Philadelphia, PA 19136
1612,Northeast Shopping Center,9163 Roosevelt Blvd & Welsh Rd,Philadelphia, PA 19114
1711,Phoenixville Town Center,700 Nutt Road,Phoenixville, PA 19460
2103,West View Shopping Center,1030 West View Park Dr,Pittsburgh, PA 15229
258,Penn Hills Shopping Center,12 Federal Drive,Pittsburgh, PA 15235
228,Robinson Towne Center,1360 Park Manor Blvd.,Pittsburgh, PA 15205
5828,Former Family Dollar,1516 Brighton Road..,Pittsburgh, PA 15212
5553,Mount Oliver,1630 Arlington Avenue... # 1,Pittsburgh, PA 15210
142,Edgewood Towne Centre,1759 S Braddock Ave.,Pittsburgh, PA 15218
4522,Nobles Manor,2350 Noblestown Rd..,Pittsburgh, PA 15205
236,Mt Nebo Pointe,240 Mt Nebo Pointe Rd,Pittsburgh, PA 15237
5587,Penn Center East,3428 Willam Penn Hwy,Pittsburgh, PA 15235
5038,McKnight Road,4714 McKnight Rd,Pittsburgh, PA 15237
4287,Crafton Shoppes,47 Walsh Rd,Pittsburgh, PA 15205
5840,Penn Avenue,6009 Penn Ave.,Pittsburgh, PA 15206
6074,Alcoma Plaza,7181 Saltsburg Rd,Pittsburgh, PA 15235
1952,Pittston Commons,1820 S Township Blvd,Pittston, PA 18640
6391,Suburbia Shopping Center,20 Glocker Way. #26,Pottstown, PA 19465
1641,Pottstown Center,223 Shoemaker Rd. Suite #151,Pottstown, PA 19464
4484,Fairlane Village Mall,7230 Fairlane Village Mall,Pottsville, PA 17901
2568,Punxsutawney,22000 Route 119,Punxsutawney, PA 15767
1642,Trainers Station,50 North West End Blvd,Quakertown, PA 18951
1339,Rockland Plaza,1130 Rockland Street,Reading, PA 19604
5954,Mount Penn Plaza,2550 Perkiomen Avenue,Reading, PA 19606
1682,Penn Plaza Shopping Center,3045 N. 5th Street Hwy Suite 12,Reading, PA 19605
1722,Shelbourne Square,5448 Perkiomen Ave,Reading, PA 19606
1873,Windsor Commons,3157 Cape Horn Rd,Red Lion, PA 17356
1622,Crossroads Plaza,800 Bustleton Pike,Richboro, PA 18954
1175,St Marys Plaza,867 S. Saint Marys St. Ste 6,Saint Marys, PA 15857
3687,Southside Shopping Center,1000 S Washington Ave.,Scranton, PA 18505
7344,Green Ridge Plaza,1624 Nay Aug Avenue. #3,Scranton, PA 18509
1380,Keyser Oak Shopping Center,1780 North Keyser Avenue Ste 2,Scranton, PA 18508
1955,CVS Strip Center,208 Meadow Avenue,Scranton, PA 18505
3687,Southside Shopping Center,1000 S Washington Ave.,Scranton, PA 18505
7344,Green Ridge Plaza,1624 Nay Aug Avenue. #3,Scranton, PA 18509
1380,Keyser Oak Shopping Center,1780 North Keyser Avenue Ste 2,Scranton, PA 18508
1955,CVS Strip Center,208 Meadow Avenue,Scranton, PA 18505
4767,Orchard Hills Shopping Center,30 Baldwin Blvd. Suite #10,Shamokin Dam, PA 17876
1633,Sharon Plaza,1100 Chester Pike,Sharon Hill, PA 19079
5933,Gold Star Plaza,7 Gold Star Plaza,Shenandoah, PA 17976
1437,Shillington Plaza,1 Parkside Avenue Unit 2B,Shillington, PA 19607
1649,Kenhorst Plaza,440 Kenhorst Plaza Unit 7,Shillington, PA 19607
2746,Shippensburg Marketplace,343 Baltimore Road,Shippensburg, PA 17257
777,Shrewsbury Commons Shopping Center,814 Shrewsbury Commons Avenue,Shrewsbury, PA 17361
7297,Sinking Spring Plaza,4770 Penn Avenue,Sinking Spring, PA 19608
6591,223 Grove City Rd,223 Grove City Road,Slippery Rock, PA 16057
4146,Somerset Crossing,2066 N. Center Ave Ste 101,Somerset, PA 15501
7176,County Line Plaza,709B Route 113 Space 1C,Souderton, PA 18964
6038,Hampton Square,410 Second Street Pike,Southampton, PA 18966
6576,1245 W Southern Ave,1245 W SOUTHERN AVE,SOUTH WILLIAMSPORT, PA 17702
597,North Atherton Place,1657 North Atherton,State College, PA 16803
3644,Benner Pike Shops,329 Benner Pike,State College, PA 16801
1495,Ames Plaza,1116 North 9th St,Stroudsburg, PA 18360
3663,Hometown Commons,45 Plaza Drive,Tamaqua, PA 18252
4222,Village at Pittsburgh Mills,1020 Village Center Dr,Tarentum, PA 15084
3750,Taylor Commons Shopping Center,1341 S. Main Avenue,Taylor, PA 18517
4658,North Reading Plaza,5370 Allentown Pike,Temple, PA 19560
1657,Thorndale Shopping Center,3223 E. Lincoln Hwy,Thorndale, PA 19372
5425,Titusville Plaza,324 W Central Ave,Titusville, PA 16354
3731,Bradford Town Center,RR 6 Box 6040-16,Towanda, PA 18848
2186,Trexlertown Mall,6900 Hamilton Blvd #220,Trexlertown, PA 18087
7505,38 Elmira Street,38 Elmira Street..,Troy, PA 16947
7337,Hunter Way,809 Hunter Highway. Suite 3,Tunkhannock, PA 18657
274,Uniontown Shopping Center,112 Matthew Dr,Uniontown, PA 15401
136,Fayette Plaza,609 Pittsburgh Road Ste.# 3,Uniontown, PA 15401
3166,Pep Boys,6701 Market St.,Upper Darby, PA 19082
1615,Bond Shopping Center,7901 Lansdowne Ave,Upper Darby, PA 19082
4019,River Town Shops,100 Allegheny River Blvd,Verona, PA 15147
1583,Walnutport Shopping Center,200 S Best Avenue Suite F,Walnutport, PA 18088
3551,Warren Commons,2745 Market St.,Warren, PA 16365
1693,Warrington Shopping Center,1380 Easton Road.,Warrington, PA 18976
23,Strabane Square,341 Washington Rd..,Washington, PA 15301
3392,Trinity Point Shopping Center,60 Trinity Point,Washington, PA 15301
3151,Wayne Heights Shopping Plaza,1523 E. Main Street Suite A,Waynesboro, PA 17268
2206,Frm Walgreens,1395 E High Street,Waynesburg, PA 15370
2153,Wesleyville,3604 Buffalo Road,Wesleyville, PA 16510
5416,The Village at Painters Crossi,158 Painters Xing,West Chester, PA 19382
1659,Bradford Plaza,682 Downingtown Pike,West Chester, PA 19380
218,Century Square,1099 Mountain View Dr.,West Mifflin, PA 15122
4994,Kennywood Shops,1600 Hoffman Blvd,West Mifflin, PA 15122
1634,Whitehall Square,2180 MacArthur Road. Suites 13 & 14,Whitehall, PA 18052
6173,Frmr Rite Aid,1615 Lincoln Way,White Oak, PA 15131
7240,Wilkes Barre Center,14 S. Main Street,Wilkes Barre, PA 18705
1677,East End Centre,316 East End Centre,Wilkes Barre, PA 18702
4239,Blackman Plaza,958 Wilkes Barre Township Blvd.,Wilkes Barre, PA 18702
27,Loyal Plaza,1923 East Third Street,Williamsport, PA 17701
951,Kendig Square,2600 Willow Street Pike 204,Willow Street, PA 17584
4572,Wind Gap Plaza,811 Male Rd.,Wind Gap, PA 18091
6154,Macdade Crossing,1245 MacDade Blvd,Woodlyn, PA 19094
1841,Cedarbrook Plaza,1000 Easton Road Suite 205,Wyncote, PA 19095
2240,Midway Shopping Center,1050 Wyoming Avenue,Wyoming, PA 18644
5913,Haines Acres Shopping Center,1071 Haines Rd.,York, PA 17402
716,South York Value Center,2142 South Queen Street. #100,York, PA 17403
1770,WalMart Supercenter,2801 E Market Street.,York, PA 17402
1684,North West Plaza,965 Loucks Rd..,York, PA 17404
